,Order_ID,Customer_ID,Customer_Name,Email,Phone,Country,City,Product,Category,Quantity,Unit_Price,Order_Date,Payment_Method,Status,Total_Sales
0,100001,4174,Customer_0,user0@gmail.com,0943539595,Tanzania,Kigali,Tablet,Office Equipment,6,21579,2024-08-31,Bank Transfer,Completed,129474
1,100002,4507,Customer_1,user1@gmail.com,0951800333,Ethiopia,Kampala,Printer,Office Equipment,4,44574,2024-06-02,Bank Transfer,Pending,178296
2,100003,1860,Customer_2,user2@gmail.com,0973124257,Uganda,Nairobi,Laptop,Electronics,1,29889,2024-06-02,Card,Pending,29889
3,100004,2294,Customer_3,user3@gmail.com,0991771726,Rwanda,Dar es Salaam,Mouse,Electronics,2,15277,2025-08-24,Mobile Money,Completed,30554
4,100005,2130,Customer_4,user4@gmail.com,0979354175,Rwanda,Addis Ababa,Monitor,Office Equipment,14,28117,2025-12-28,Card,Cancelled,393638
5,100006,2095,Customer_5,user5@gmail.com,0992631062,Ethiopia,Kigali,Tablet,Electronics,4,17092,2024-06-11,Card,Cancelled,68368
6,100007,4772,Customer_6,user6@gmail.com,0932045524,Ethiopia,Kampala,Speaker,Accessories,5,49754,2025-07-21,Mobile Money,Cancelled,248770
7,100008,4092,Customer_7,user7@gmail.com,0929865905,Rwanda,Kigali,Phone,Electronics,15,33727,2024-07-19,Mobile Money,Completed,505905
8,100009,2638,Customer_8,user8@gmail.com,0971500922,Tanzania,Nairobi,Speaker,Accessories,9,26235,2025-07-27,Cash,Completed,236115
9,100010,3169,Customer_9,user9@gmail.com,0915479892,Kenya,Nairobi,Mouse,Electronics,16,39212,2025-02-11,Bank Transfer,Cancelled,627392
10,100011,1466,Customer_10,user10@gmail.com,0945907323,Uganda,Kigali,Printer,Accessories,13,5573,2025-07-30,Card,Pending,72449
11,100012,2238,Customer_11,user11@gmail.com,0949953257,Kenya,Nairobi,Laptop,Office Equipment,3,4445,2025-08-19,Cash,Cancelled,13335
12,100013,1330,Customer_12,user12@gmail.com,0962463149,Kenya,Addis Ababa,Printer,Electronics,5,18498,2025-04-08,Bank Transfer,Cancelled,92490
13,100014,2482,Customer_13,user13@gmail.com,0934317813,Kenya,Addis Ababa,Monitor,Accessories,6,596,2024-01-01,Bank Transfer,Completed,3576
14,100015,3135,Customer_14,user14@gmail.com,0960908420,Rwanda,Kampala,Monitor,Accessories,10,26171,2025-04-27,Cash,Completed,261710
15,100016,4444,Customer_15,user15@gmail.com,0974698945,Kenya,Dar es Salaam,Tablet,Electronics,15,18192,2025-01-12,Card,Cancelled,272880
16,100017,4171,Customer_16,user16@gmail.com,0927876629,Tanzania,Nairobi,Monitor,Electronics,17,13327,2024-02-12,Cash,Cancelled,226559
17,100018,3919,Customer_17,user17@gmail.com,0935765445,Tanzania,Dar es Salaam,Tablet,Office Equipment,7,30990,2024-05-07,Bank Transfer,Cancelled,216930
